daerah,kota,nama_bank_sampah,alamat,jenisSampah,jam oprasional,keterangan
jombang,Tangerang selatan,Bank Sampah Teratai,https://share.google/3Y2mLQ52nM4m8JZQE,"botol bening, botol bening kotor, botol warna bersih, botol warna kotor, gelas bening, bersih, gelas bening kotor, galon, tutup botol, emberan, botol beling, tutup galon, paralon/selang, talang air, koran","Sabtu        08.00–16.00
Minggu        08.00–16.00
Senin        08.00–16.00
Selasa        08.00–16.00
Rabu        08.00–16.00
Kamis        08.00–16.00
Jumat        08.00–16.00",
sawah baru,Tangerang selatan,,,,,belum ada
serua,Tangerang selatan,,,,,belum ada
serua indah,Tangerang selatan,,,,,belum ada
cireundeu,Tangerang selatan,,,,,belum ada
pisangan,Tangerang selatan,,,,,belum ada
pondok ranji,Tangerang selatan,,,,,belum ada
rempoa,Tangerang selatan,,,,,belum ada
rengas,Tangerang selatan,,,,,belum ada
veteran,Tangerang selatan,,,,,belum ada
ciputat,Tangerang selatan,,,,,belum ada
bambu apus,Tangerang selatan,Bank Sampah Lele Asri 5,https://maps.app.goo.gl/1K4LpwBz82XgjnRb9,"kardus, botol plastik","Sabtu	08.00–17.00
Minggu	08.00–17.00
Senin	08.00–17.00
Selasa	08.00–17.00
Rabu	08.00–17.00
Kamis	08.00–17.00
Jumat	08.00–17.00",
,Tangerang selatan,Bank Sampah Asri Mandiri,https://maps.app.goo.gl/YyVUP5KW29bLDtnDA,kardus bekas,tidak tercatat,
benda baru,Tangerang selatan,,,,,belum ada
kedaung,Tangerang selatan,Bank Sampah Sabar 12,https://maps.app.goo.gl/Cy6MDHapHcPWajiC7,"kardus, botol plastik","Sabtu	Buka 24 jam
Minggu	08.00–17.00
Senin	08.00–16.00
Selasa	08.00–16.00
Rabu	08.00–16.00
Kamis	08.00–16.00
Jumat	08.00–17.00",
,Tangerang selatan,Bank Sampah Bakti Bersama,https://maps.app.goo.gl/6RcVGfrSxCzz7iZ99,"kardus, botol plastik","Sabtu	10.00–16.00
Minggu	Tutup
Senin	10.00–16.00
Selasa	10.00–16.00
Rabu	10.00–16.00
Kamis	10.00–16.00
Jumat	10.00–16.00",
pamulang,Tangerang selatan,BANK SAMPAH TALAS BERSIH,https://maps.app.goo.gl/YbjHuAz6i3Si2SM48,"sampah kering, seperti plastik, kertas, kaleng",tidak tercatat,
pondok benda,Tangerang selatan,,,,,belum ada
pondok cabe,Tangerang selatan,Bank Sampah Kampung Baru,https://maps.app.goo.gl/k96JUrWB8CS12rTU7,,tidak tercatat,
Cipulir,Jakarta Selatan 1,,,,,belum ada
Grogol Selatan,Jakarta Selatan 1,,,,,belum ada
Grogol Utara,Jakarta Selatan 1,,,,,belum ada
Kebayoran Lama Selatan,Jakarta Selatan 1,,,,,belum ada
Kebayoran Lama Utara,Jakarta Selatan 1,,,,,belum ada
Pondok Pinang,Jakarta Selatan 1,Bank Sampah Cempaka RW 09,https://maps.app.goo.gl/GbGa4wRzCphNLZwT8,"kertas bekas, botol plastik bersih",n/a,
Bintaro,Jakarta Selatan 2,Bank Sampah Bumi Madani Bintaro,https://maps.app.goo.gl/vm3PTQKkCXDuQryi8,"kardus, botol plastik","Sabtu	Tutup
Minggu	Tutup
Senin	08.00–16.00
Selasa	08.00–16.00
Rabu	08.00–16.00
Kamis	08.00–16.00
Jumat	08.00–16.00",
Pesanggrahan,Jakarta Selatan 2,Bank sampah Melati cakra06,https://maps.app.goo.gl/uMeJyHKoq5PcPFZm6,"kardus, botol plastik","Sabtu	09.00–12.00
Minggu	Tutup
Senin	Tutup
Selasa	Tutup
Rabu	Tutup
Kamis	Tutup
Jumat	Tutup",
Petukangan Selatan,Jakarta Selatan 2,,,,,belum ada
Petukangan Utara,Jakarta Selatan 2,,,,,belum ada
Ulujami,Jakarta Selatan 2,Bank Sampah Tri Alam Lestari,https://maps.app.goo.gl/ZMGJTAhNQwK3NSNb9,"botol plastik, galon",tidak tercatat,
Cipete Utara,Jakarta Selatan 3,Bank Sampah Kirai Mandiri,https://maps.app.goo.gl/ysN6FPst7hCLfzG57,botol plastik,tidak tercatat,
Gandaria Utara,Jakarta Selatan 3,,,,,belum ada
Kramat Pela,Jakarta Selatan 3,Bank Sampah Seni Baru,https://maps.app.goo.gl/dHaQYgccAbda2Upp6,sampah anorganik,tidak tercatat,
Melawai,Jakarta Selatan 3,,,,,belum ada
Petogogan,Jakarta Selatan 3,,,,,belum ada
Pulo,Jakarta Selatan 3,,,,,belum ada
Rawa Barat,Jakarta Selatan 3,,,,,belum ada
Selong,Jakarta Selatan 3,,,,,belum ada
Senayan,Jakarta Selatan 3,,,,,belum ada
